,precision,recall,f1-score,support
Abyssinian,0.9565217391304348,0.88,0.9166666666666666,75.0
Bombay,0.925,0.9866666666666667,0.9548387096774194,75.0
Egyptian Mau,0.9210526315789473,0.9333333333333333,0.9271523178807947,75.0
Exotic Shorthair,0.8518518518518519,0.6133333333333333,0.7131782945736435,75.0
Himalayan,0.9240506329113924,0.9733333333333334,0.948051948051948,75.0
Maine Coon,0.8395061728395061,0.9066666666666666,0.8717948717948718,75.0
Russian Blue,0.9012345679012346,0.9733333333333334,0.9358974358974359,75.0
Scottish Fold,0.8395061728395061,0.9066666666666666,0.8717948717948718,75.0
Siamese,0.96,0.96,0.96,75.0
Sphynx,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
accuracy,0.9106666666666666,0.9106666666666666,0.9106666666666666,0.9106666666666666
macro avg,0.910521025553936,0.9106666666666665,0.9079240888149732,750.0
weighted avg,0.910521025553936,0.9106666666666666,0.9079240888149732,750.0
