,precision,recall,f1-score,support
Abyssinian,0.18181818181818182,0.08,0.1111111111111111,75.0
Bombay,0.2422907488986784,0.7333333333333333,0.36423841059602646,75.0
Egyptian Mau,0.192,0.32,0.24,75.0
Exotic Shorthair,0.06896551724137931,0.02666666666666667,0.038461538461538464,75.0
Himalayan,0.12658227848101267,0.13333333333333333,0.12987012987012986,75.0
Maine Coon,0.07317073170731707,0.04,0.05172413793103448,75.0
Russian Blue,0.06666666666666667,0.04,0.05,75.0
Scottish Fold,0.16363636363636364,0.12,0.13846153846153847,75.0
Siamese,0.15517241379310345,0.12,0.13533834586466165,75.0
Sphynx,0.13793103448275862,0.10666666666666667,0.12030075187969924,75.0
accuracy,0.172,0.172,0.172,0.172
macro avg,0.14082339367254618,0.172,0.13795059641757396,750.0
weighted avg,0.14082339367254618,0.172,0.13795059641757398,750.0
