,precision,recall,f1-score,support
Abyssinian,0.9736842105263158,0.9866666666666667,0.9801324503311258,75.0
Bombay,0.961038961038961,0.9866666666666667,0.9736842105263158,75.0
Egyptian Mau,0.961038961038961,0.9866666666666667,0.9736842105263158,75.0
Exotic Shorthair,0.9130434782608695,0.84,0.875,75.0
Himalayan,0.9722222222222222,0.9333333333333333,0.9523809523809523,75.0
Maine Coon,0.9240506329113924,0.9733333333333334,0.948051948051948,75.0
Russian Blue,0.9864864864864865,0.9733333333333334,0.9798657718120806,75.0
Scottish Fold,0.9305555555555556,0.8933333333333333,0.9115646258503401,75.0
Siamese,0.9487179487179487,0.9866666666666667,0.9673202614379085,75.0
Sphynx,0.9868421052631579,1.0,0.9933774834437086,75.0
accuracy,0.956,0.956,0.956,0.956
macro avg,0.9557680562021871,0.9560000000000001,0.9555061914360696,750.0
weighted avg,0.9557680562021872,0.956,0.9555061914360694,750.0
