path,class_name
project_results\raw_dataset\Egyptian Mau\egyptian_389.jpg,Egyptian Mau
project_results\raw_dataset\Exotic Shorthair\exotic_308.jpg,Exotic Shorthair
project_results\raw_dataset\Russian Blue\russianblue_376.jpg,Russian Blue
project_results\raw_dataset\Abyssinian\abys_378.jpg,Abyssinian
project_results\raw_dataset\Siamese\siamese_90.jpg,Siamese
project_results\raw_dataset\Exotic Shorthair\exotic_321.jpg,Exotic Shorthair
project_results\raw_dataset\Scottish Fold\scottish_15.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_386.jpg,Bombay
project_results\raw_dataset\Russian Blue\russianblue_462.jpg,Russian Blue
project_results\raw_dataset\Exotic Shorthair\exotic_130.jpg,Exotic Shorthair
project_results\raw_dataset\Scottish Fold\scottish_192.jpg,Scottish Fold
project_results\raw_dataset\Sphynx\sphynx_458.jpg,Sphynx
project_results\raw_dataset\Bombay\bombay_273.jpg,Bombay
project_results\raw_dataset\Himalayan\himalayan_174.jpg,Himalayan
project_results\raw_dataset\Maine Coon\mainecoon_483.jpg,Maine Coon
project_results\raw_dataset\Himalayan\himalayan_36.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_361.jpg,Scottish Fold
project_results\raw_dataset\Maine Coon\mainecoon_113.jpg,Maine Coon
project_results\raw_dataset\Exotic Shorthair\exotic_168.jpg,Exotic Shorthair
project_results\raw_dataset\Himalayan\himalayan_219.jpg,Himalayan
project_results\raw_dataset\Scottish Fold\scottish_476.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_452.jpg,Scottish Fold
project_results\raw_dataset\Scottish Fold\scottish_463.jpg,Scottish Fold
project_results\raw_dataset\Sphynx\sphynx_484.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_355.jpg,Abyssinian
project_results\raw_dataset\Sphynx\sphynx_212.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_469.jpg,Abyssinian
project_results\raw_dataset\Exotic Shorthair\exotic_122.jpg,Exotic Shorthair
project_results\raw_dataset\Scottish Fold\scottish_214.jpg,Scottish Fold
project_results\raw_dataset\Exotic Shorthair\exotic_399.jpg,Exotic Shorthair
project_results\raw_dataset\Bombay\bombay_453.jpg,Bombay
project_results\raw_dataset\Egyptian Mau\egyptian_201.jpg,Egyptian Mau
project_results\raw_dataset\Bombay\bombay_365.jpg,Bombay
project_results\raw_dataset\Scottish Fold\scottish_227.jpg,Scottish Fold
project_results\raw_dataset\Bombay\bombay_107.jpg,Bombay
project_results\raw_dataset\Abyssinian\abys_245.jpg,Abyssinian
project_results\raw_dataset\Russian Blue\russianblue_3.jpg,Russian Blue
project_results\raw_dataset\Sphynx\sphynx_411.jpg,Sphynx
project_results\raw_dataset\Abyssinian\abys_254.jpg,Abyssinian
project_results\raw_dataset\Egyptian Mau\egyptian_123.jpg,Egyptian Mau
project_results\raw_dataset\Russian Blue\russianblue_129.jpg,Russian Blue
project_results\raw_dataset\Siamese\siamese_244.jpg,Siamese
project_results\raw_dataset\Egyptian Mau\egyptian_350.jpg,Egyptian Mau
project_results\raw_dataset\Exotic Shorthair\exotic_18.jpg,Exotic Shorthair
project_results\raw_dataset\Egyptian Mau\egyptian_209.jpg,Egyptian Mau
